"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Latvia","Ukraine",2006-03-26,"Legislative",1546,380,375,3,NA,NA,203,"Party of Regions",48,"Yulia Tymoshenko Bloc",43,"Block OUR UKRAINE",13,"Socialist Party of Ukraine",10,"Communist Party of Ukraine",9,"Lytvyn People's Bloc",5,"Civil bloc PORA-PRP",5,"Bloc of Natalia Vitrenko People's Opposition",4,"Green Party of Ukraine",4,"The opposition bloc is NOT YES!",3,"Political party Party of ecological rescue ECO + 25%",3,"Political Party of Ukraine Putin's Politics Party",3,"People's Movement of Ukraine for Unity",3,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",2,"Ukrainian People's Bloc of Kostenko and Ivy",2,"Ukrainian Green Planet Party",2,"NDP block",2,"Viche Party",2,"Social Christian Party",2,"Bloc of Boris Oliynyk and Mykhailo Syrota",1,"Peasant Party of Ukraine",1,"Party of Patriotic Forces of Ukraine",1,"Party of National and Economic Development of Ukraine",1,"Electoral bloc State - Labor Union ",1,"All-Ukrainian Association Freedom",1,"European Capital Political Party",1,"Electoral bloc People's Power",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Ukrainian Conservative Party",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",203
"Lebanon","Ukraine",2006-03-26,"Legislative",1090,277,269,6,NA,NA,120,"Party of Regions",83,"Yulia Tymoshenko Bloc",20,"Block OUR UKRAINE",10,"Lytvyn People's Bloc",9,"Viche Party",6,"Bloc of Natalia Vitrenko People's Opposition",5,"Socialist Party of Ukraine",3,"The opposition bloc is NOT YES!",2,"Communist Party of Ukraine",2,"Yuri Karmazin's block",2,"Electoral bloc Yevhen Marchuk - Unity",2,"Green Party of Ukraine",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Renaissance Party",1,"Civil bloc PORA-PRP",1,"European Capital Political Party",1,"Lazarenko Bloc",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"All-Ukrainian Party New Power",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"Social Protection Party",0,"Third Force Political Party",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",120
"Liberia","Ukraine",2006-03-26,"Legislative",309,304,245,59,NA,NA,86,"Yulia Tymoshenko Bloc",53,"Party of Regions",43,"Block OUR UKRAINE",14,"Socialist Party of Ukraine",12,"Lytvyn People's Bloc",7,"Communist Party of Ukraine",3,"Viche Party",3,"Civil bloc PORA-PRP",3,"All-Ukrainian Association Freedom",3,"Bloc of Natalia Vitrenko People's Opposition",3,"Green Party of Ukraine",2,"Yuri Karmazin's block",2,"Socio-ecological party Union. Chernobyl. Ukraine.",2,"Party of Pensioners of Ukraine",2,"The opposition bloc is NOT YES!",1,"All-Ukrainian Party of People's Trust",1,"Political party Party of ecological rescue ECO + 25%",1,"Political Party of Ukraine Putin's Politics Party",1,"People's Movement of Ukraine for Unity",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Social Christian Party",1,"Labor Ukraine Political Party",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Ukrainian Conservative Party",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!","Party of Regions",53
"Lithuania","Ukraine",2006-03-26,"Legislative",1300,194,189,4,NA,NA,68,"Party of Regions",53,"Block OUR UKRAINE",24,"Yulia Tymoshenko Bloc",7,"Communist Party of Ukraine",6,"Civil bloc PORA-PRP",6,"Bloc of Natalia Vitrenko People's Opposition",6,"Lytvyn People's Bloc",4,"Socialist Party of Ukraine",3,"The opposition bloc is NOT YES!",2,"Political Party of Ukraine Putin's Politics Party",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"Political party Party of ecological rescue ECO + 25%",1,"Ukrainian Green Planet Party",1,"NDP block",1,"Viche Party",1,"Electoral bloc Yevhen Marchuk - Unity",1,"All-Ukrainian Association Freedom",1,"Lazarenko Bloc",1,"Electoral bloc People's Power",1,"Political party Forward, Ukraine!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",68
"North Macedonia","Ukraine",2006-03-26,"Legislative",61,47,42,5,NA,NA,11,"Block OUR UKRAINE",7,"Yulia Tymoshenko Bloc",7,"Lytvyn People's Bloc",5,"Party of Regions",4,"Civil bloc PORA-PRP",3,"Socialist Party of Ukraine",1,"NDP block",1,"Political Party of Ukraine Putin's Politics Party",1,"Viche Party",1,"Bloc of Natalia Vitrenko People's Opposition",1,"Green Party of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",5
"Moldova","Ukraine",2006-03-26,"Legislative",63754,1662,1641,6,NA,NA,1180,"Party of Regions",268,"Bloc of Natalia Vitrenko People's Opposition",61,"Block OUR UKRAINE",31,"Yulia Tymoshenko Bloc",23,"Lytvyn People's Bloc",15,"Civil bloc PORA-PRP",11,"Communist Party of Ukraine",6,"Political Party of Ukraine Putin's Politics Party",6,"Socialist Party of Ukraine",5,"Viche Party",4,"Peasant Party of Ukraine",3,"Ukrainian Green Planet Party",3,"Renaissance Party",3,"Electoral bloc of political parties FOR THE UNION",3,"The opposition bloc is NOT YES!",2,"Ukrainian People's Bloc of Kostenko and Ivy",2,"NDP block",2,"Yuri Karmazin's block",2,"Third Force Political Party",2,"Green Party of Ukraine",1,"Ukrainian National Assembly",1,"People's Movement of Ukraine for Unity",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Party of National and Economic Development of Ukraine",1,"Electoral bloc State - Labor Union ",1,"All-Ukrainian Association Freedom",1,"Social Protection Party",1,"Party of Pensioners of Ukraine",0,"All-Ukrainian Party of People's Trust",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Conservative Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"All-Ukrainian Party New Power",0,"Bloc of Non-Party Sun ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",1180
"Peru","Ukraine",2006-03-26,"Legislative",85,57,57,0,NA,NA,16,"Party of Regions",15,"Yulia Tymoshenko Bloc",13,"Block OUR UKRAINE",3,"Party of Patriotic Forces of Ukraine",2,"Socialist Party of Ukraine",2,"Bloc of Natalia Vitrenko People's Opposition",1,"Ukrainian People's Bloc of Kostenko and Ivy",1,"NDP block",1,"Communist Party of Ukraine",1,"Viche Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"Civil bloc PORA-PRP",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",16
"Poland","Ukraine",2006-03-26,"Legislative",5521,1043,1017,26,NA,NA,493,"Block OUR UKRAINE",271,"Yulia Tymoshenko Bloc",67,"Party of Regions",60,"Civil bloc PORA-PRP",26,"Socialist Party of Ukraine",17,"Ukrainian People's Bloc of Kostenko and Ivy",10,"All-Ukrainian Association Freedom",9,"Lytvyn People's Bloc",8,"Viche Party",6,"Bloc of Natalia Vitrenko People's Opposition",5,"Communist Party of Ukraine",5,"Green Party of Ukraine",4,"All-Ukrainian Party of People's Trust",4,"Political party Party of ecological rescue ECO + 25%",4,"People's Movement of Ukraine for Unity",4,"Yuri Karmazin's block",2,"Ukrainian National Assembly",2,"NDP block",2,"Political Party of Ukraine Putin's Politics Party",2,"Ukrainian Conservative Party",2,"Party of National and Economic Development of Ukraine",1,"Ukrainian Green Planet Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"All-Ukrainian Party New Power",1,"Renaissance Party",1,"Electoral bloc of political parties FOR THE UNION",1,"Peasant Party of Ukraine",1,"Party of Patriotic Forces of Ukraine",1,"Electoral bloc Yevhen Marchuk - Unity",1,"Bloc of Non-Party Sun ",1,"Third Force Political Party",1,"Lazarenko Bloc",1,"Political party Forward, Ukraine!",1,"The opposition bloc is NOT YES!",1,"Labor Ukraine Political Party",0,"Electoral bloc State - Labor Union ",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine","Party of Regions",67
"Singapore","Ukraine",2006-03-26,"Legislative",68,39,34,5,NA,NA,7,"Yulia Tymoshenko Bloc",5,"Lytvyn People's Bloc",4,"Block OUR UKRAINE",3,"Viche Party",3,"Civil bloc PORA-PRP",3,"Bloc of Boris Oliynyk and Mykhailo Syrota",2,"Party of Regions",2,"Social Protection Party",1,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",1,"European Capital Political Party",1,"Green Party of Ukraine",1,"Party of Pensioners of Ukraine",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Communist Party of Ukraine",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Socialist Party of Ukraine",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Labor Ukraine Political Party","Party of Regions",2
"Slovenia","Ukraine",2006-03-26,"Legislative",284,45,44,1,NA,NA,14,"Block OUR UKRAINE",10,"Party of Regions",8,"Yulia Tymoshenko Bloc",3,"Viche Party",2,"Civil bloc PORA-PRP",2,"Socialist Party of Ukraine",1,"Political party Party of ecological rescue ECO + 25%",1,"Communist Party of Ukraine",1,"Yuri Karmazin's block",1,"Bloc of Natalia Vitrenko People's Opposition",1,"The opposition bloc is NOT YES!",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Political Party of Ukraine Putin's Politics Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"Labor Ukraine Political Party","Party of Regions",10
"Tunisia","Ukraine",2006-03-26,"Legislative",249,68,68,0,NA,NA,39,"Party of Regions",19,"Block OUR UKRAINE",2,"NDP block",2,"Socialist Party of Ukraine",2,"Yulia Tymoshenko Bloc",1,"All-Ukrainian Party of People's Trust",1,"Political Party of Ukraine Putin's Politics Party",1,"Bloc of Non-Party Sun ",1,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Ukrainian People's Bloc of Kostenko and Ivy",0,"Ukrainian National Assembly",0,"Political party Party of ecological rescue ECO + 25%",0,"Ukrainian Green Planet Party",0,"Communist Party of Ukraine",0,"Viche Party",0,"Ukrainian Conservative Party",0,"People's Movement of Ukraine for Unity",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Civil bloc PORA-PRP",0,"Party of Patriotic Forces of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Bloc of Natalia Vitrenko People's Opposition",0,"Third Force Political Party",0,"Green Party of Ukraine",0,"Lazarenko Bloc",0,"Electoral bloc People's Power",0,"Bloc Patriots of Ukraine",0,"Lytvyn People's Bloc",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.",0,"Party of Pensioners of Ukraine",0,"The opposition bloc is NOT YES!",0,"Labor Ukraine Political Party","Party of Regions",39
"Turkey","Ukraine",2006-03-26,"Legislative",561,214,200,14,NA,NA,68,"Party of Regions",52,"Block OUR UKRAINE",31,"Yulia Tymoshenko Bloc",9,"Socialist Party of Ukraine",9,"Lytvyn People's Bloc",5,"Viche Party",5,"People's Movement of Ukraine for Unity",3,"Party of Patriotic Forces of Ukraine",3,"Green Party of Ukraine",2,"Ukrainian People's Bloc of Kostenko and Ivy",2,"Bloc of Natalia Vitrenko People's Opposition",2,"Party of Pensioners of Ukraine",2,"The opposition bloc is NOT YES!",1,"Political party Party of ecological rescue ECO + 25%",1,"Political Party of Ukraine Putin's Politics Party",1,"Communist Party of Ukraine",1,"Civil bloc PORA-PRP",1,"Third Force Political Party",1,"Electoral bloc People's Power",1,"Labor Ukraine Political Party",0,"All-Ukrainian Party of People's Trust",0,"Ukrainian National Assembly",0,"Ukrainian Green Planet Party",0,"NDP block",0,"Ukrainian Conservative Party",0,"Ukrainian Party of Honor, Fight against Corruption and Organized Crime",0,"Yuri Karmazin's block",0,"All-Ukrainian Party New Power",0,"Renaissance Party",0,"Electoral bloc of political parties FOR THE UNION",0,"Peasant Party of Ukraine",0,"Electoral bloc Yevhen Marchuk - Unity",0,"Party of National and Economic Development of Ukraine",0,"Electoral bloc State - Labor Union ",0,"Bloc of Non-Party Sun ",0,"All-Ukrainian Association Freedom",0,"Social Christian Party",0,"Liberal Party of Ukraine",0,"European Capital Political Party",0,"Social Protection Party",0,"Lazarenko Bloc",0,"Bloc Patriots of Ukraine",0,"Bloc of Boris Oliynyk and Mykhailo Syrota",0,"Political party Forward, Ukraine!",0,"Socio-ecological party Union. Chernobyl. Ukraine.","Party of Regions",68
